tot_users,new_users,activity_score_pca,users_lag1,new_users_lag1,activity_lag1,new_users_ma7,activity_ma7,new_users_diff,activity_diff,impact_score,activity_range,target
100696.5,722.5,-1.6605935247507684,99974.0,4283.0,-1.659586765821228,3392.875,-1.662005875906964,-3560.5,-0.0010067589295403856,0.0,0,0.0
101419.0,722.5,-1.6651371787989937,100696.5,722.5,-1.6605935247507684,2502.75,-1.6623370394814587,0.0,-0.004543654048225321,0.0,0,0.0
102141.5,722.5,-1.6714545492403363,101419.0,722.5,-1.6651371787989937,1612.625,-1.6641930046528317,0.0,-0.006317370441342618,0.0,0,0.0
102864.0,722.5,-1.6585462299984561,102141.5,722.5,-1.6714545492403363,722.5,-1.6639328706971386,0.0,0.012908319241880184,0.0,0,0.0
103586.5,722.5,-1.6626453850720704,102864.0,722.5,-1.6585462299984561,722.5,-1.664445835777464,0.0,-0.004099155073614247,0.0,0,0.0
104309.0,722.5,-1.666985695759072,103586.5,722.5,-1.6626453850720704,722.5,-1.6649079650174838,0.0,-0.004340310687001692,0.0,0,0.0
105795.0,1486.0,-1.6663473004865477,104309.0,722.5,-1.666985695759072,913.375,-1.6636311528290366,763.5,0.0006383952725244058,0.0,0,0.0
107281.0,1486.0,-1.670140865902848,105795.0,1486.0,-1.6663473004865477,1104.25,-1.6665298118051346,0.0,-0.003793565416300382,0.0,0,0.0
108767.0,1486.0,-1.6716424990326748,107281.0,1486.0,-1.670140865902848,1295.125,-1.6687790902952857,0.0,-0.0015016331298267627,0.0,0,0.0
110253.0,1486.0,-1.6340488675060718,108767.0,1486.0,-1.6716424990326748,1486.0,-1.6605448832320355,0.0,0.037593631526603,0.0,0,0.0
111739.0,1486.0,-1.6609455988767308,110253.0,1486.0,-1.6340488675060718,1486.0,-1.6591944578295812,0.0,-0.026896731370658955,0.0,0,0.0
112647.0,908.0,-1.6611951235114268,111739.0,1486.0,-1.6609455988767308,1341.5,-1.656958022231726,-578.0,-0.00024952463469607444,0.0,0,0.0
113555.0,908.0,-1.6623468247827156,112647.0,908.0,-1.6611951235114268,1197.0,-1.6546341036692365,0.0,-0.0011517012712887187,0.0,0,0.0
114463.0,908.0,-1.659453721603081,113555.0,908.0,-1.6623468247827156,1052.5,-1.6609853171934885,0.0,0.0028931031796346485,0.0,0,0.0
116432.66666666669,1969.6666666666715,-1.6625106221285864,114463.0,908.0,-1.659453721603081,1173.4166666666679,-1.6613765730064523,1061.6666666666715,-0.003056900525505446,0.0,0,0.0
118402.33333333331,1969.666666666657,-1.6645261916511884,116432.66666666669,1969.6666666666715,-1.6625106221285864,1438.8333333333321,-1.6622093400413929,-1.4551915228366852e-11,-0.0020155695226020676,0.0,0,0.0
120372.0,1969.6666666666715,-1.6607228024741576,118402.33333333331,1969.666666666657,-1.6645261916511884,1704.25,-1.6618033344642535,1.4551915228366852e-11,0.003803389177030825,0.0,0,0.0
122868.77777777778,2496.777777777781,-1.6571963138229053,120372.0,1969.6666666666715,-1.6607228024741576,2101.4444444444453,-1.6612389825192095,527.1111111111095,0.0035264886512522686,0.0,0,0.0
125365.55555555556,2496.777777777781,-1.6455054209750446,122868.77777777778,2496.777777777781,-1.6571963138229053,2233.2222222222226,-1.656987682230824,0.0,0.011690892847860734,0.0,0,0.0
