tot_users,new_users,activity_score_pca,users_lag1,new_users_lag1,activity_lag1,new_users_ma7,activity_ma7,new_users_diff,activity_diff,impact_score,activity_range,target
102141.5,722.5,-1.6714545492403368,101419.0,722.5,-1.6651371787989941,1612.625,-1.6641930046528322,0.0,-0.006317370441342618,0.0,0,0.0
102864.0,722.5,-1.658546229998456,102141.5,722.5,-1.6714545492403368,722.5,-1.663932870697139,0.0,0.01290831924188085,0.0,0,0.0
103586.5,722.5,-1.6626453850720708,102864.0,722.5,-1.658546229998456,722.5,-1.6644458357774645,0.0,-0.004099155073614913,0.0,0,0.0
104309.0,722.5,-1.6669856957590725,103586.5,722.5,-1.6626453850720708,722.5,-1.664907965017484,0.0,-0.004340310687001692,0.0,0,0.0
105795.0,1486.0,-1.6663473004865486,104309.0,722.5,-1.6669856957590725,913.375,-1.663631152829037,763.5,0.0006383952725239617,0.0,0,0.0
107281.0,1486.0,-1.670140865902849,105795.0,1486.0,-1.6663473004865486,1104.25,-1.6665298118051353,0.0,-0.003793565416300382,0.0,0,0.0
108767.0,1486.0,-1.6716424990326748,107281.0,1486.0,-1.670140865902849,1295.125,-1.6687790902952861,0.0,-0.0015016331298258745,0.0,0,0.0
110253.0,1486.0,-1.6340488675060725,108767.0,1486.0,-1.6716424990326748,1486.0,-1.6605448832320362,0.0,0.037593631526602334,0.0,0,0.0
111739.0,1486.0,-1.6609455988767312,110253.0,1486.0,-1.6340488675060725,1486.0,-1.6591944578295816,0.0,-0.026896731370658733,0.0,0,0.0
112647.0,908.0,-1.661195123511427,111739.0,1486.0,-1.6609455988767312,1341.5,-1.6569580222317266,-578.0,-0.0002495246346958524,0.0,0,0.0
113555.0,908.0,-1.6623468247827156,112647.0,908.0,-1.661195123511427,1197.0,-1.6546341036692367,0.0,-0.0011517012712884966,0.0,0,0.0
114463.0,908.0,-1.6594537216030807,113555.0,908.0,-1.6623468247827156,1052.5,-1.6609853171934885,0.0,0.0028931031796348705,0.0,0,0.0
116432.66666666669,1969.6666666666715,-1.662510622128587,114463.0,908.0,-1.6594537216030807,1173.4166666666679,-1.6613765730064525,1061.6666666666715,-0.003056900525506334,0.0,0,0.0
118402.33333333331,1969.666666666657,-1.6645261916511889,116432.66666666669,1969.6666666666715,-1.662510622128587,1438.8333333333321,-1.6622093400413929,-1.4551915228366852e-11,-0.0020155695226018455,0.0,0,0.0
120372.0,1969.6666666666715,-1.6607228024741583,118402.33333333331,1969.666666666657,-1.6645261916511889,1704.25,-1.6618033344642535,1.4551915228366852e-11,0.0038033891770306028,0.0,0,0.0
122868.77777777778,2496.777777777781,-1.6571963138229056,120372.0,1969.6666666666715,-1.6607228024741583,2101.4444444444453,-1.66123898251921,527.1111111111095,0.0035264886512527127,0.0,0,0.0
125365.55555555556,2496.777777777781,-1.6455054209750448,122868.77777777778,2496.777777777781,-1.6571963138229056,2233.2222222222226,-1.6569876822308243,0.0,0.011690892847860734,0.0,0,0.0
127862.33333333331,2496.7777777777665,-1.6456767291865244,125365.55555555556,2496.777777777781,-1.6455054209750448,2365.0,-1.6522753166146584,-1.4551915228366852e-11,-0.00017130821147959274,0.0,0,0.0
