tot_users,new_users,activity_score_pca,users_lag1,new_users_lag1,activity_lag1,new_users_ma7,activity_ma7,new_users_diff,activity_diff,impact_score,target
142843.0,2496.777777777781,-1.6340292622406363,140346.22222222222,2496.777777777781,-1.658645944240452,2496.777777777781,-1.653216955829219,0.0,0.024616681999815704,0.0,5621.0
148464.0,5621.0,-1.543977597760442,142843.0,2496.777777777781,-1.6340292622406363,3277.8333333333358,-1.6236273703715063,3124.222222222219,0.0900516644801943,0.0,5621.0
154085.0,5621.0,-1.587437344406307,148464.0,5621.0,-1.543977597760442,4058.8888888888905,-1.6060225371619594,0.0,-0.04345974664586505,0.0,5126.125
159211.125,5126.125,-1.6247867231330642,154085.0,5621.0,-1.587437344406307,4716.225694444445,-1.5975577318851124,-494.875,-0.03734937872675714,0.0,5126.125
164337.25,5126.125,-1.630232655119967,159211.125,5126.125,-1.6247867231330642,5373.5625,-1.596608580104945,0.0,-0.005445931986902908,0.0,5126.125
169463.375,5126.125,-1.627418195238519,164337.25,5126.125,-1.630232655119967,5249.84375,-1.6174687294744645,0.0,0.002814459881448128,0.0,5126.125
174589.5,5126.125,-1.602033691719971,169463.375,5126.125,-1.627418195238519,5126.125,-1.6211178163028803,0.0,0.02538450351854804,0.0,5126.125
179715.625,5126.125,-1.6068490439771799,174589.5,5126.125,-1.602033691719971,5126.125,-1.6166333965139092,0.0,-0.004815352257208971,0.0,5126.125
184841.75,5126.125,-1.6107438670780834,179715.625,5126.125,-1.6068490439771799,5126.125,-1.6117611995034382,0.0,-0.0038948231009034995,0.0,5126.125
189967.875,5126.125,-1.6094683008341981,184841.75,5126.125,-1.6107438670780834,5126.125,-1.607273725902358,0.0,0.001275566243885251,0.0,5126.125
195094.0,5126.125,-1.4510699483081515,189967.875,5126.125,-1.6094683008341981,5126.125,-1.5695327900494032,0.0,0.15839835252604662,0.0,16466.0
211560.0,16466.0,-1.3247656003049388,195094.0,5126.125,-1.4510699483081515,7961.09375,-1.4990119291313428,11339.875,0.12630434800321266,0.0,16466.0
228026.0,16466.0,-1.2571802945994532,211560.0,16466.0,-1.3247656003049388,10796.0625,-1.4106210360116855,0.0,0.0675853057054856,0.0,16466.0
244492.0,16466.0,-1.3379289292058547,228026.0,16466.0,-1.2571802945994532,13631.03125,-1.3427361931045996,0.0,-0.08074863460640147,0.0,21458.0
265950.0,21458.0,-1.4217921752968383,244492.0,16466.0,-1.3379289292058547,17714.0,-1.3354167498517713,4992.0,-0.08386324609098361,0.0,4205.0
270155.0,4205.0,-1.4392885617243845,265950.0,21458.0,-1.4217921752968383,14648.75,-1.3640474902066326,-17253.0,-0.01749638642754614,0.0,4205.0
274360.0,4205.0,-1.4768488294505089,270155.0,4205.0,-1.4392885617243845,11583.5,-1.4189646239193965,0.0,-0.03756026772612442,0.0,4827.333333333314
279187.3333333333,4827.333333333314,-1.5199818119682518,274360.0,4205.0,-1.4768488294505089,8673.833333333328,-1.4644778446099957,622.3333333333139,-0.04313298251774289,0.0,4827.333333333372
284014.6666666667,4827.333333333372,-1.5424381926716202,279187.3333333333,4827.333333333314,-1.5199818119682518,4516.1666666666715,-1.4946393489536913,5.820766091346741e-11,-0.022456380703368417,0.0,4827.333333333314
288842.0,4827.333333333314,-1.5456982734564317,284014.6666666667,4827.333333333372,-1.5424381926716202,4671.75,-1.521241776886703,-5.820766091346741e-11,-0.0032600807848115476,0.0,6923.476190476213
295765.4761904762,6923.476190476213,-1.538917864610679,288842.0,4827.333333333314,-1.5456982734564317,5351.369047619053,-1.5367590356767455,2096.1428571428987,0.006780408845752817,0.0,6923.476190476154
302688.9523809524,6923.476190476154,-1.5329662915948152,295765.4761904762,6923.476190476213,-1.538917864610679,5875.404761904763,-1.5400051555833865,-5.820766091346741e-11,0.005951573015863687,0.0,6923.476190476213
309612.4285714286,6923.476190476213,-1.526612050093481,302688.9523809524,6923.476190476154,-1.5329662915948152,6399.440476190473,-1.5360486199388517,5.820766091346741e-11,0.006354241501334235,0.0,6923.476190476154
316535.90476190473,6923.476190476154,-1.549248490234296,309612.4285714286,6923.476190476213,-1.526612050093481,6923.476190476184,-1.5369361741333178,-5.820766091346741e-11,-0.022636440140815006,0.0,6923.476190476213
323459.38095238095,6923.476190476213,-1.5604406901476695,316535.90476190473,6923.476190476154,-1.549248490234296,6923.476190476184,-1.5423168805175653,5.820766091346741e-11,-0.011192199913373502,0.0,6923.476190476213
330382.8571428572,6923.476190476213,-1.5613714102412302,323459.38095238095,6923.476190476213,-1.5604406901476695,6923.476190476198,-1.5494181601791692,0.0,-0.0009307200935606552,0.0,6923.476190476154
337306.3333333333,6923.476190476154,-1.5668128227821518,330382.8571428572,6923.476190476213,-1.5613714102412302,6923.476190476184,-1.559468353351337,-5.820766091346741e-11,-0.005441412540921675,0.0,6923.476190476213
344229.8095238095,6923.476190476213,-1.5668686440811541,337306.3333333333,6923.476190476154,-1.5668128227821518,6923.476190476198,-1.5638733918130514,5.820766091346741e-11,-5.5821299002278835e-05,0.0,6923.476190476213
351153.28571428574,6923.476190476213,-1.556028466259444,344229.8095238095,6923.476190476213,-1.5668686440811541,6923.476190476198,-1.562770335840995,0.0,0.010840177821710206,0.0,6923.476190476154
358076.7619047619,6923.476190476154,-1.5666956225994764,351153.28571428574,6923.476190476213,-1.556028466259444,6923.476190476184,-1.5641013889305564,-5.820766091346741e-11,-0.010667156340032458,0.0,6923.476190476213
365000.2380952381,6923.476190476213,-1.5727940296831342,358076.7619047619,6923.476190476154,-1.5666956225994764,6923.476190476198,-1.565596690655802,5.820766091346741e-11,-0.006098407083657831,0.0,6923.476190476213
371923.7142857143,6923.476190476213,-1.5789868327097336,365000.2380952381,6923.476190476213,-1.5727940296831342,6923.476190476198,-1.568626237812947,0.0,-0.006192803026599414,0.0,6923.476190476154
378847.1904761905,6923.476190476154,-1.5594250227924513,371923.7142857143,6923.476190476213,-1.5789868327097336,6923.476190476184,-1.5694753769461989,-5.820766091346741e-11,0.01956180991728229,0.0,6923.476190476213
385770.6666666667,6923.476190476213,-1.406121432590677,378847.1904761905,6923.476190476154,-1.5594250227924513,6923.476190476198,-1.529331829443999,5.820766091346741e-11,0.1533035902017743,0.0,6923.476190476154
392694.1428571429,6923.476190476154,-1.3847012934496084,385770.6666666667,6923.476190476213,-1.406121432590677,6923.476190476184,-1.4823086453856176,-5.820766091346741e-11,0.02142013914106866,0.0,6923.476190476213
399617.6190476191,6923.476190476213,-1.4232618781820536,392694.1428571429,6923.476190476154,-1.3847012934496084,6923.476190476184,-1.4433774067536977,5.820766091346741e-11,-0.03856058473244528,0.0,6923.476190476213
406541.09523809527,6923.476190476213,-1.4611844877950224,399617.6190476191,6923.476190476213,-1.4232618781820536,6923.476190476198,-1.4188172730043402,0.0,-0.03792260961296878,0.0,6923.476190476154
413464.5714285714,6923.476190476154,-1.4604518999517826,406541.09523809527,6923.476190476213,-1.4611844877950224,6923.476190476184,-1.4323998898446169,-5.820766091346741e-11,0.0007325878432398181,0.0,6923.476190476213
420388.0476190476,6923.476190476213,-1.4775003251098062,413464.5714285714,6923.476190476154,-1.4604518999517826,6923.476190476198,-1.4555996477596662,5.820766091346741e-11,-0.017048425158023628,0.0,6923.476190476154
427311.5238095238,6923.476190476154,-1.47565319872044,420388.0476190476,6923.476190476213,-1.4775003251098062,6923.476190476184,-1.468697477894263,-5.820766091346741e-11,0.0018471263893662382,0.0,6923.476190476213
434235.0,6923.476190476213,-1.4643405945791785,427311.5238095238,6923.476190476154,-1.47565319872044,6923.476190476184,-1.4694865045903018,5.820766091346741e-11,0.01131260414126145,0.0,11752.333333333314
445987.3333333333,11752.333333333314,-1.451697519108037,434235.0,6923.476190476213,-1.4643405945791785,8130.690476190473,-1.4672979093793654,4828.857142857101,0.012643075471141518,0.0,11752.333333333372
457739.6666666667,11752.333333333372,-1.4608515367485666,445987.3333333333,11752.333333333314,-1.451697519108037,9337.904761904763,-1.4631357122890556,5.820766091346741e-11,-0.009154017640529588,0.0,11752.333333333314
469492.0,11752.333333333314,-1.4525619319445835,457739.6666666667,11752.333333333372,-1.4608515367485666,10545.119047619053,-1.4573628955950912,-5.820766091346741e-11,0.008289604803983108,0.0,11752.333333333314
481244.3333333333,11752.333333333314,-1.4428394663789048,469492.0,11752.333333333314,-1.4525619319445835,11752.333333333328,-1.451987613545023,0.0,0.009722465565678684,0.0,11752.333333333372
492996.6666666667,11752.333333333372,-1.4777362947102042,481244.3333333333,11752.333333333314,-1.4428394663789048,11752.333333333343,-1.4584973074455647,5.820766091346741e-11,-0.03489682833129937,0.0,11752.333333333314
504749.0,11752.333333333314,-1.466875909594713,492996.6666666667,11752.333333333372,-1.4777362947102042,11752.333333333328,-1.4600034006571014,-5.820766091346741e-11,0.010860385115491145,0.0,11752.333333333372
516501.3333333334,11752.333333333372,-1.4356694119469509,504749.0,11752.333333333314,-1.466875909594713,11752.333333333343,-1.455780270657693,5.820766091346741e-11,0.031206497647762177,0.0,11752.333333333256
528253.6666666666,11752.333333333256,-1.4499973975267264,516501.3333333334,11752.333333333372,-1.4356694119469509,11752.333333333328,-1.4575697534446486,-1.1641532182693481e-10,-0.014327985579775548,0.0,11752.333333333372
540006.0,11752.333333333372,-1.4581793850048521,528253.6666666666,11752.333333333256,-1.4499973975267264,11752.333333333328,-1.4526805260183107,1.1641532182693481e-10,-0.008181987478125707,0.0,11752.333333333372
551758.3333333334,11752.333333333372,-1.4626785141873009,540006.0,11752.333333333372,-1.4581793850048521,11752.333333333343,-1.4516311771664574,0.0,-0.004499129182448769,0.0,11752.333333333256
563510.6666666666,11752.333333333256,-1.4543007065939348,551758.3333333334,11752.333333333372,-1.4626785141873009,11752.333333333314,-1.4562890008282037,-1.1641532182693481e-10,0.008377807593366038,0.0,11752.333333333372
575263.0,11752.333333333372,-1.4792357091480968,563510.6666666666,11752.333333333256,-1.4543007065939348,11752.333333333343,-1.4635985787335462,1.1641532182693481e-10,-0.024935002554161922,0.0,11752.333333333372
587015.3333333334,11752.333333333372,-1.4762189155851069,575263.0,11752.333333333372,-1.4792357091480968,11752.333333333343,-1.4681084613786097,0.0,0.0030167935629898945,0.0,11752.333333333372
598767.6666666667,11752.333333333372,-1.4511333578224277,587015.3333333334,11752.333333333372,-1.4762189155851069,11752.333333333343,-1.4652221722873917,0.0,0.025085557762679178,0.0,11752.333333333256
610520.0,11752.333333333256,-1.4357893920845344,598767.6666666667,11752.333333333372,-1.4511333578224277,11752.333333333343,-1.4605943436600415,-1.1641532182693481e-10,0.015343965737893317,0.0,11752.333333333372
622272.3333333334,11752.333333333372,-1.4255954010482985,610520.0,11752.333333333256,-1.4357893920845344,11752.333333333343,-1.4471842666350918,1.1641532182693481e-10,0.010193991036235861,0.0,11752.333333333372
